Name,Age_rating,Seller,Price,Category,point,length,embedding,2D
Temu: Shop Like a Billionaire,4+,Temu,Free,Shopping,11,24249,"[-0.04969396 -0.05822004 -0.01086764 ...  0.01066538  0.00700134
  0.00314088]","[-5.705496311187744, 3.0218207836151123]"
"Threads, an Instagram app",12+,"Instagram, Inc.",Free,Social Networking,1,10103,"[-0.02793046 -0.04905096 -0.01051207 ...  0.02084746 -0.01520194
  0.02274268]","[-7.094446182250977, 7.07185173034668]"
TikTok,12+,TikTok Ltd.,Free,Entertainment,27,28822,"[-0.014031   -0.0511181  -0.01210565 ...  0.0057921  -0.0094262
  0.00667455]","[-4.4646172523498535, 4.800765514373779]"
CapCut - Video Editor,12+,Bytedance Pte. Ltd,Free,Photo & Video,21,65444,"[-0.00749962 -0.04997128 -0.01945423 ...  0.0133021  -0.01554138
  0.01433924]","[6.761084079742432, 0.3878214359283447]"
"YouTube: Watch, Listen, Stream",12+,Google LLC,Free,Photo & Video,25,46962,"[-0.03465239 -0.04386914 -0.02538678 ...  0.01034849 -0.0129865
 -0.00817051]","[3.2768173217773438, 3.205536365509033]"
ChatGPT,12+,OpenAI,Free,Productivity,16,20859,"[-0.02846836 -0.03343189 -0.00032258 ...  0.00687431 -0.00474323
  0.00812418]","[-3.0801360607147217, 5.72490930557251]"
Instagram,12+,"Instagram, Inc.",Free,Photo & Video,too long,119843,"[-0.00073558 -0.058093   -0.01879193 ...  0.0274751  -0.01262785
  0.02300392]","[-0.6805733442306519, -7.054753303527832]"
Google,17+,Google LLC,Free,Utilities,0,3163,"[ 0.00336895 -0.02568378 -0.00054487 ... -0.00148032 -0.0111714
  0.01128326]","[-3.661773681640625, -4.476170063018799]"
Gmail - Email by Google,4+,Google LLC,Free,Productivity,11,9014,"[-0.01228244 -0.04970699 -0.00535954 ... -0.00097059 -0.00351156
  0.00958864]","[-4.188451766967773, -3.516327142715454]"
WhatsApp Messenger,12+,WhatsApp Inc.,Free,Social Networking,8,27014,"[-0.03789945 -0.00944147 -0.0055764  ...  0.00428665 -0.01243002
  0.0242089 ]","[-5.4829816818237305, 7.119767665863037]"
SHEIN - Shopping Online,12+,ROADGET BUSINESS PTE. LTD.,Free,Shopping,0,452,"[-0.04163992  0.04394301  0.000713   ... -0.00427608  0.00434901
 -0.01853222]","[-6.7485198974609375, -0.1983628273010254]"
"Max: Stream HBO, TV, & Movies",12+,"WarnerMedia Global Digital Services, LLC",Free,Entertainment,11,18641,"[-0.02309311 -0.0371391  -0.01464421 ...  0.01189074 -0.00847348
  0.02548601]","[-1.984143614768982, 1.3282572031021118]"
Facebook,12+,"Meta Platforms, Inc.",Free,Social Networking,too long,119843,"[-0.0009604  -0.05809969 -0.01901592 ...  0.02749621 -0.01310884
  0.02296475]","[-0.6770507097244263, -7.049953460693359]"
Google Maps,4+,Google LLC,Free,Navigation,19,37781,"[-0.01831228 -0.0620431  -0.02573741 ...  0.02110619 -0.00282428
  0.01169951]","[-2.0919713973999023, -2.7693893909454346]"
Telegram Messenger,17+,Telegram FZ-LLC,Free,Social Networking,15,26846,"[-0.03467529 -0.04101304 -0.00984521 ... -0.00210643 -0.00967158
  0.02474326]","[-5.510052680969238, 7.6623454093933105]"
Snapchat,12+,"Snap, Inc.",Free,Photo & Video,15,24010,"[-0.0176016  -0.05154152 -0.00951665 ...  0.00421933 -0.00565946
  0.01190845]","[-3.8636221885681152, 4.825523853302002]"
Cash App,4+,"Block, Inc.",Free,Finance,21,32392,"[-0.02856741 -0.04051263 -0.011487   ...  0.00721295 -0.01291696
 -0.01199262]","[0.20553825795650482, 4.3678436279296875]"
DoorDash - Food Delivery,12+,"DoorDash, Inc.",Free,Food & Drink,24,46962,"[-0.0343296  -0.04386379 -0.02551129 ...  0.01028261 -0.01305664
 -0.00856613]","[3.27841854095459, 3.206732749938965]"
Spotify - Music and Podcasts,12+,Spotify,Free,Music,29,36746,"[-0.01166082 -0.05992774 -0.00884811 ...  0.00449376 -0.00799529
 -0.00633473]","[-1.8166369199752808, 4.489567279815674]"
Amazon Prime Video,12+,AMZN Mobile LLC,Free,Entertainment,9,23749,"[-0.00486251 -0.02084932 -0.02315036 ...  0.00458654 -0.00541834
 -0.01379849]","[2.4455316066741943, -5.359025001525879]"
Google Chrome,17+,Google LLC,Free,Utilities,28,62741,"[-0.03593832 -0.0535736  -0.02643774 ...  0.02206686 -0.01473653
  0.0217178 ]","[-1.038873314857483, -3.7642786502838135]"
Netflix,12+,"Netflix, Inc.",Free,Entertainment,28,73914,"[-0.01637274 -0.05334773 -0.02761703 ...  0.00798005 -0.02805914
  0.00551898]","[0.28207072615623474, -4.495466709136963]"
Uber - Request a ride,4+,"Uber Technologies, Inc.",Free,Travel,21,51670,"[-0.02039006 -0.023932   -0.0222089  ...  0.01246857 -0.00106099
 -0.00373937]","[2.609332323074341, -8.345115661621094]"
Amazon Shopping,4+,AMZN Mobile LLC,Free,Shopping,14,23749,"[-0.00487342 -0.02064404 -0.02314682 ...  0.00435654 -0.00541751
 -0.01385078]","[2.440798044204712, -5.362008571624756]"
"Discord - Chat, Talk & Hangout",17+,"Discord, Inc.",Free,Social Networking,16,35476,"[-0.02758618 -0.05480108 -0.01707893 ...  0.00932844  0.00880864
 -0.00397503]","[-3.002842903137207, 4.7350616455078125]"
Reddit,17+,reddit,Free,News,24,29079,"[-0.02651428 -0.05059046 -0.01804511 ...  0.01738746 -0.00025388
  0.00346466]","[-2.9157912731170654, 3.9245898723602295]"
Messenger,12+,"Meta Platforms, Inc.",Free,Social Networking,too long,119843,"[-0.00120866 -0.05843689 -0.01891749 ...  0.02767978 -0.01304626
  0.0230152 ]","[-0.6775264739990234, -7.054430961608887]"
McDonald's,4+,McDonald's USA,Free,Food & Drink,25,56141,"[-0.01227857 -0.03393184 -0.02210295 ...  0.00565149 -0.01438978
  0.01269776]","[3.284484386444092, -1.4411863088607788]"
Pinterest,12+,Pinterest,Free,Lifestyle,21,39682,"[-0.031406   -0.04022582 -0.01497968 ...  0.0134786   0.00195607
  0.01067866]","[-2.6679317951202393, 3.650575637817383]"
Walmart: Shopping & Savings,4+,Walmart,Free,Shopping,22,29482,"[-0.02537344 -0.03285514 -0.00359697 ...  0.01101942 -0.00849308
 -0.00547162]","[-2.888073444366455, 0.9308991432189941]"
Google Meet,4+,Google LLC,Free,Social Networking,2,11465,"[ 5.18918224e-03 -5.75399138e-02 -6.64091809e-03 ... -9.18366131e-04
 -2.20800866e-05  5.64808957e-03]","[-4.544417858123779, -3.630052328109741]"
Peacock TV: Stream TV & Movies,12+,Peacock TV LLC,Free,Entertainment,21,43678,"[-0.02006475 -0.06584003 -0.03138924 ...  0.00549353  0.00661692
  0.00504911]","[4.6539201736450195, -0.36790308356285095]"
TurboTax: File Your Tax Return,4+,Intuit Inc.,Free,Finance,16,81604,"[-0.03435951 -0.05056315 -0.03091055 ...  0.00919182 -0.0002059
  0.00140623]","[5.399435997009277, 0.8518469929695129]"
Indeed Job Search,4+,Indeed Inc.,Free,Business,18,97195,"[-0.01799339 -0.03931768 -0.02687579 ...  0.0050535  -0.00732716
 -0.00931509]","[7.072314739227295, -3.0253024101257324]"
"PayPal - Send, Shop, Manage",4+,"PayPal, Inc.",Free,Finance,33,45879,"[-0.0456569  -0.03860822 -0.00745478 ...  0.02068194 -0.00084845
 -0.02130559]","[2.787508726119995, -3.040477752685547]"
Duolingo - Language Lessons,4+,Duolingo,Free,Education,29,27398,"[-0.04186137 -0.00560437 -0.01737891 ...  0.01611514  0.00175937
  0.00170155]","[-2.119929313659668, 5.2067461013793945]"
"ShutEye: Sleep Tracker, Sound",4+,Enerjoy Pte. Ltd.,Free,Health & Fitness,18,16654,"[-0.04831256 -0.02688262 -0.00871972 ...  0.00385724  0.00046478
  0.0087121 ]","[-7.782289981842041, 3.998528480529785]"
Microsoft Authenticator,4+,Microsoft Corporation,Free,Productivity,0,1999,"[-0.02646288 -0.03047743  0.00454629 ... -0.01161089 -0.02110401
 -0.00817182]","[6.300461292266846, -6.89260721206665]"
Zoom - One Platform to Connect,4+,"Zoom Video Communications, Inc.",Free,Business,30,58809,"[-0.0172633  -0.04370233 -0.02357161 ...  0.01708684  0.01194756
  0.00467609]","[6.430986404418945, -0.2530498504638672]"
The Roku App,12+,ROKU INC,Free,Entertainment,too long,124775,"[-0.00582447 -0.06113878 -0.02172724 ...  0.00939478 -0.00599535
 -0.00948931]","[4.056199550628662, -2.827413558959961]"
Shop: All your favorite brands,12+,Shopify Inc.,Free,Shopping,18,19438,"[-0.02625733 -0.02582433 -0.00985516 ...  0.00211414 -0.00124164
  0.00153391]","[-4.84017276763916, 1.5162686109542847]"
Microsoft Teams,4+,Microsoft Corporation,Free,Business,too long,299069,"[-0.01335085 -0.03729321 -0.02124452 ...  0.00757855  0.00999968
 -0.00918495]","[5.742208480834961, -5.912054538726807]"
Life360: Find Friends & Family,4+,Life360,Free,Social Networking,25,56533,"[-0.02498846 -0.06784306 -0.0151651  ...  0.00875954  0.0040063
  0.0066734 ]","[3.154849052429199, 1.0438168048858643]"
